"Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"rpart",40,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",45,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",50,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",55,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",60,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",65,64.4444444444444,0.79182156133829,0.647058823529412,0.816091954022989,0.611111111111111,0.74320987654321
"rpart",70,71.1111111111111,0.843866171003718,0.551470588235294,0.788194444444445,0.641025641025641,0.745679012345679
"rpart",75,71.1111111111111,0.843866171003718,0.551470588235294,0.788194444444445,0.641025641025641,0.745679012345679
"rpart",80,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",85,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",90,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",95,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"rpart",35,53.9408866995074,0.662962962962963,0.705882352941177,0.817351598173516,0.513368983957219,0.677339901477833
"rpart",40,66.0098522167488,0.807407407407407,0.632352941176471,0.813432835820895,0.623188405797102,0.748768472906404
"rpart",45,66.0098522167488,0.807407407407407,0.632352941176471,0.813432835820895,0.623188405797102,0.748768472906404
"rpart",50,66.0098522167488,0.807407407407407,0.632352941176471,0.813432835820895,0.623188405797102,0.748768472906404
"rpart",55,66.0098522167488,0.807407407407407,0.632352941176471,0.813432835820895,0.623188405797102,0.748768472906404
"rpart",60,76.1083743842365,0.881481481481482,0.477941176470588,0.770226537216829,0.670103092783505,0.746305418719212
"rpart",65,76.1083743842365,0.881481481481482,0.477941176470588,0.770226537216829,0.670103092783505,0.746305418719212
"rpart",70,84.4827586206897,0.933333333333333,0.330882352941176,0.73469387755102,0.714285714285714,0.731527093596059
"rpart",75,84.4827586206897,0.933333333333333,0.330882352941176,0.73469387755102,0.714285714285714,0.731527093596059
"rpart",80,84.4827586206897,0.933333333333333,0.330882352941176,0.73469387755102,0.714285714285714,0.731527093596059
"rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rpart",5,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",10,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",15,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",20,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",25,0,0,1,NA,0.335802469135802,0.335802469135802
"rpart",30,55.5555555555556,0.654275092936803,0.639705882352941,0.782222222222222,0.483333333333333,0.649382716049383
"rpart",35,55.5555555555556,0.654275092936803,0.639705882352941,0.782222222222222,0.483333333333333,0.649382716049383
"rpart",40,55.5555555555556,0.654275092936803,0.639705882352941,0.782222222222222,0.483333333333333,0.649382716049383
"rpart",45,64.1975308641975,0.758364312267658,0.588235294117647,0.784615384615385,0.551724137931034,0.701234567901235
"rpart",50,64.1975308641975,0.758364312267658,0.588235294117647,0.784615384615385,0.551724137931034,0.701234567901235
"rpart",55,64.1975308641975,0.758364312267658,0.588235294117647,0.784615384615385,0.551724137931034,0.701234567901235
"rpart",60,64.1975308641975,0.758364312267658,0.588235294117647,0.784615384615385,0.551724137931034,0.701234567901235
"rpart",65,64.1975308641975,0.758364312267658,0.588235294117647,0.784615384615385,0.551724137931034,0.701234567901235
"rpart",70,81.7283950617284,0.899628252788104,0.345588235294118,0.731117824773414,0.635135135135135,0.71358024691358
"rpart",75,81.7283950617284,0.899628252788104,0.345588235294118,0.731117824773414,0.635135135135135,0.71358024691358
"rpart",80,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",85,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",90,100,1,0,0.664197530864198,NA,0.664197530864198
"rpart",95,100,1,0,0.664197530864198,NA,0.664197530864198
"rf",5,1.47783251231527,0.0222222222222222,1,1,0.34,0.349753694581281
"rf",10,5.41871921182266,0.0777777777777778,0.992647058823529,0.954545454545455,0.3515625,0.38423645320197
"rf",15,11.0837438423645,0.162962962962963,0.992647058823529,0.977777777777778,0.373961218836565,0.440886699507389
"rf",20,16.256157635468,0.233333333333333,0.977941176470588,0.954545454545454,0.391176470588235,0.482758620689655
"rf",25,23.3990147783251,0.333333333333333,0.963235294117647,0.947368421052632,0.421221864951768,0.544334975369458
"rf",30,27.5862068965517,0.388888888888889,0.948529411764706,0.9375,0.438775510204082,0.576354679802956
"rf",35,35.7142857142857,0.488888888888889,0.904411764705882,0.910344827586207,0.471264367816092,0.62807881773399
"rf",40,43.8423645320197,0.574074074074074,0.830882352941177,0.870786516853933,0.495614035087719,0.660098522167488
"rf",45,51.9704433497537,0.666666666666667,0.772058823529412,0.853080568720379,0.538461538461538,0.701970443349754
"rf",50,57.6354679802956,0.733333333333333,0.735294117647059,0.846153846153846,0.581395348837209,0.733990147783251
"rf",55,62.0689655172414,0.762962962962963,0.661764705882353,0.817460317460317,0.584415584415584,0.729064039408867
"rf",60,68.2266009852217,0.814814814814815,0.580882352941177,0.794223826714801,0.612403100775194,0.736453201970443
"rf",65,72.9064039408867,0.855555555555556,0.522058823529412,0.780405405405405,0.645454545454546,0.74384236453202
"rf",70,79.064039408867,0.892592592592593,0.411764705882353,0.750778816199377,0.658823529411765,0.731527093596059
"rf",75,85.2216748768473,0.918518518518519,0.279411764705882,0.716763005780347,0.633333333333333,0.704433497536946
"rf",80,91.1330049261084,0.959259259259259,0.183823529411765,0.7,0.694444444444445,0.699507389162562
"rf",85,96.0591133004926,0.988888888888889,0.0955882352941176,0.684615384615385,0.8125,0.689655172413793
"rf",90,99.0147783251232,1,0.0294117647058824,0.671641791044776,1,0.67487684729064
"rf",95,100,1,0,0.665024630541872,NA,0.665024630541872
"rf",5,1.47783251231527,0.0222222222222222,1,1,0.34,0.349753694581281
"rf",10,4.43349753694581,0.062962962962963,0.992647058823529,0.944444444444445,0.347938144329897,0.374384236453202
