"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"1","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"2","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"3","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"4","rpart",20,45.0738916256158,0.574074074074074,0.794117647058823,0.846994535519126,0.484304932735426,0.647783251231527
"5","rpart",25,47.5369458128079,0.607407407407407,0.786764705882353,0.849740932642487,0.502347417840376,0.667487684729064
"6","rpart",30,64.2857142857143,0.788888888888889,0.647058823529412,0.816091954022989,0.606896551724138,0.741379310344828
"7","rpart",35,66.9950738916256,0.818518518518519,0.625,0.8125,0.634328358208955,0.753694581280788
"8","rpart",40,66.9950738916256,0.818518518518519,0.625,0.8125,0.634328358208955,0.753694581280788
"9","rpart",45,66.9950738916256,0.818518518518519,0.625,0.8125,0.634328358208955,0.753694581280788
"10","rpart",50,66.9950738916256,0.818518518518519,0.625,0.8125,0.634328358208955,0.753694581280788
"11","rpart",55,72.6600985221675,0.833333333333333,0.485294117647059,0.76271186440678,0.594594594594595,0.716748768472906
"12","rpart",60,72.6600985221675,0.833333333333333,0.485294117647059,0.76271186440678,0.594594594594595,0.716748768472906
"13","rpart",65,74.384236453202,0.848148148148148,0.463235294117647,0.758278145695364,0.605769230769231,0.719211822660099
"14","rpart",70,100,1,0,0.665024630541872,NA,0.665024630541872
"15","rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"16","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"17","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"18","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"19","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"20","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"21","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"22","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"23","rpart",20,45.320197044335,0.551851851851852,0.742647058823529,0.809782608695652,0.454954954954955,0.61576354679803
"24","rpart",25,45.320197044335,0.551851851851852,0.742647058823529,0.809782608695652,0.454954954954955,0.61576354679803
"25","rpart",30,63.3004926108374,0.762962962962963,0.625,0.801556420233463,0.570469798657718,0.716748768472906
"26","rpart",35,69.4581280788177,0.82962962962963,0.573529411764706,0.794326241134752,0.629032258064516,0.74384236453202
"27","rpart",40,69.4581280788177,0.82962962962963,0.573529411764706,0.794326241134752,0.629032258064516,0.74384236453202
"28","rpart",45,69.4581280788177,0.82962962962963,0.573529411764706,0.794326241134752,0.629032258064516,0.74384236453202
"29","rpart",50,69.4581280788177,0.82962962962963,0.573529411764706,0.794326241134752,0.629032258064516,0.74384236453202
"30","rpart",55,69.4581280788177,0.82962962962963,0.573529411764706,0.794326241134752,0.629032258064516,0.74384236453202
"31","rpart",60,83.743842364532,0.918518518518519,0.323529411764706,0.729411764705882,0.666666666666667,0.719211822660099
"32","rpart",65,89.1625615763547,0.940740740740741,0.205882352941176,0.701657458563536,0.636363636363636,0.694581280788177
"33","rpart",70,89.1625615763547,0.940740740740741,0.205882352941176,0.701657458563536,0.636363636363636,0.694581280788177
"34","rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"35","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"36","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"37","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"38","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"39","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"40","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"41","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"42","rpart",20,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"43","rpart",25,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"44","rpart",30,63.3004926108374,0.777777777777778,0.654411764705882,0.817120622568093,0.597315436241611,0.736453201970443
"45","rpart",35,63.3004926108374,0.777777777777778,0.654411764705882,0.817120622568093,0.597315436241611,0.736453201970443
"46","rpart",40,63.3004926108374,0.777777777777778,0.654411764705882,0.817120622568093,0.597315436241611,0.736453201970443
"47","rpart",45,74.1379310344828,0.892592592592593,0.558823529411765,0.800664451827242,0.723809523809524,0.780788177339901
"48","rpart",50,74.1379310344828,0.892592592592593,0.558823529411765,0.800664451827242,0.723809523809524,0.780788177339901
"49","rpart",55,74.1379310344828,0.892592592592593,0.558823529411765,0.800664451827242,0.723809523809524,0.780788177339901
"50","rpart",60,74.1379310344828,0.892592592592593,0.558823529411765,0.800664451827242,0.723809523809524,0.780788177339901
"51","rpart",65,78.5714285714286,0.918518518518519,0.477941176470588,0.77742946708464,0.747126436781609,0.770935960591133
"52","rpart",70,100,1,0,0.665024630541872,NA,0.665024630541872
"53","rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"54","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"55","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"56","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"57","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"58","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"59","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"60","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"61","rpart",20,49.5073891625616,0.62962962962963,0.772058823529412,0.845771144278607,0.51219512195122,0.677339901477833
"62","rpart",25,49.5073891625616,0.62962962962963,0.772058823529412,0.845771144278607,0.51219512195122,0.677339901477833
"63","rpart",30,63.5467980295566,0.766666666666667,0.625,0.802325581395349,0.574324324324324,0.719211822660099
"64","rpart",35,63.5467980295566,0.766666666666667,0.625,0.802325581395349,0.574324324324324,0.719211822660099
"65","rpart",40,71.6748768472906,0.851851851851852,0.551470588235294,0.790378006872852,0.652173913043478,0.751231527093596
"66","rpart",45,73.1527093596059,0.87037037037037,0.544117647058823,0.791245791245791,0.678899082568807,0.761083743842365
"67","rpart",50,73.1527093596059,0.87037037037037,0.544117647058823,0.791245791245791,0.678899082568807,0.761083743842365
