"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"1","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"2","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"3","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"4","rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"5","rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"6","rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"7","rpart",35,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"8","rpart",40,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"9","rpart",45,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"10","rpart",50,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"11","rpart",55,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"12","rpart",60,61.0837438423645,0.744444444444444,0.654411764705882,0.810483870967742,0.563291139240506,0.714285714285714
"13","rpart",65,63.5467980295566,0.77037037037037,0.632352941176471,0.806201550387597,0.581081081081081,0.724137931034483
"14","rpart",70,63.5467980295566,0.77037037037037,0.632352941176471,0.806201550387597,0.581081081081081,0.724137931034483
"15","rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"16","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"17","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"18","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"19","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"20","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"21","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"22","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"23","rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"24","rpart",25,33.2512315270936,0.418518518518519,0.838235294117647,0.837037037037037,0.420664206642066,0.559113300492611
"25","rpart",30,33.2512315270936,0.418518518518519,0.838235294117647,0.837037037037037,0.420664206642066,0.559113300492611
"26","rpart",35,33.2512315270936,0.418518518518519,0.838235294117647,0.837037037037037,0.420664206642066,0.559113300492611
"27","rpart",40,53.6945812807882,0.662962962962963,0.713235294117647,0.821100917431193,0.515957446808511,0.679802955665025
"28","rpart",45,53.6945812807882,0.662962962962963,0.713235294117647,0.821100917431193,0.515957446808511,0.679802955665025
"29","rpart",50,53.6945812807882,0.662962962962963,0.713235294117647,0.821100917431193,0.515957446808511,0.679802955665025
"30","rpart",55,53.6945812807882,0.662962962962963,0.713235294117647,0.821100917431193,0.515957446808511,0.679802955665025
"31","rpart",60,61.3300492610837,0.740740740740741,0.639705882352941,0.803212851405622,0.554140127388535,0.706896551724138
"32","rpart",65,70.1970443349754,0.818518518518519,0.529411764705882,0.775438596491228,0.59504132231405,0.721674876847291
"33","rpart",70,70.1970443349754,0.818518518518519,0.529411764705882,0.775438596491228,0.59504132231405,0.721674876847291
"34","rpart",75,100,1,0,0.665024630541872,NA,0.665024630541872
"35","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"36","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"37","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"38","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"39","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"40","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"41","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"42","rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"43","rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"44","rpart",30,0,0,1,NA,0.334975369458128,0.334975369458128
"45","rpart",35,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"46","rpart",40,49.7536945812808,0.625925925925926,0.757352941176471,0.836633663366337,0.504901960784314,0.669950738916256
"47","rpart",45,64.5320197044335,0.803703703703704,0.669117647058823,0.82824427480916,0.631944444444444,0.758620689655172
"48","rpart",50,64.5320197044335,0.803703703703704,0.669117647058823,0.82824427480916,0.631944444444444,0.758620689655172
"49","rpart",55,64.5320197044335,0.803703703703704,0.669117647058823,0.82824427480916,0.631944444444444,0.758620689655172
"50","rpart",60,64.5320197044335,0.803703703703704,0.669117647058823,0.82824427480916,0.631944444444444,0.758620689655172
"51","rpart",65,64.5320197044335,0.803703703703704,0.669117647058823,0.82824427480916,0.631944444444444,0.758620689655172
"52","rpart",70,67.2413793103448,0.82962962962963,0.639705882352941,0.82051282051282,0.654135338345865,0.766009852216749
"53","rpart",75,78.5714285714286,0.918518518518519,0.477941176470588,0.77742946708464,0.747126436781609,0.770935960591133
"54","rpart",80,78.5714285714286,0.918518518518519,0.477941176470588,0.77742946708464,0.747126436781609,0.770935960591133
"55","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"56","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"57","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"58","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"59","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"60","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"61","rpart",20,0,0,1,NA,0.334975369458128,0.334975369458128
"62","rpart",25,0,0,1,NA,0.334975369458128,0.334975369458128
"63","rpart",30,37.6847290640394,0.466666666666667,0.801470588235294,0.823529411764706,0.430830039525692,0.578817733990148
"64","rpart",35,37.6847290640394,0.466666666666667,0.801470588235294,0.823529411764706,0.430830039525692,0.578817733990148
"65","rpart",40,37.6847290640394,0.466666666666667,0.801470588235294,0.823529411764706,0.430830039525692,0.578817733990148
"66","rpart",45,60.5911330049261,0.748148148148148,0.676470588235294,0.821138211382114,0.575,0.724137931034483
"67","rpart",50,60.5911330049261,0.748148148148148,0.676470588235294,0.821138211382114,0.575,0.724137931034483
"68","rpart",55,60.5911330049261,0.748148148148148,0.676470588235294,0.821138211382114,0.575,0.724137931034483
