"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"62","rpart",25,52.4630541871921,0.62962962962963,0.683823529411765,0.7981220657277,0.481865284974093,0.647783251231527
"63","rpart",30,52.4630541871921,0.62962962962963,0.683823529411765,0.7981220657277,0.481865284974093,0.647783251231527
"64","rpart",35,68.4729064039409,0.814814814814815,0.573529411764706,0.79136690647482,0.609375,0.733990147783251
"65","rpart",40,68.4729064039409,0.814814814814815,0.573529411764706,0.79136690647482,0.609375,0.733990147783251
"66","rpart",45,80.0492610837438,0.937037037037037,0.470588235294118,0.778461538461538,0.790123456790123,0.780788177339901
"67","rpart",50,80.0492610837438,0.937037037037037,0.470588235294118,0.778461538461538,0.790123456790123,0.780788177339901
"68","rpart",55,80.0492610837438,0.937037037037037,0.470588235294118,0.778461538461538,0.790123456790123,0.780788177339901
"69","rpart",60,85.9605911330049,0.962962962962963,0.345588235294118,0.744985673352435,0.824561403508772,0.75615763546798
"70","rpart",65,85.9605911330049,0.962962962962963,0.345588235294118,0.744985673352435,0.824561403508772,0.75615763546798
"71","rpart",70,94.3349753694581,0.992592592592593,0.154411764705882,0.699738903394256,0.913043478260869,0.711822660098522
"72","rpart",75,94.3349753694581,0.992592592592593,0.154411764705882,0.699738903394256,0.913043478260869,0.711822660098522
"73","rpart",80,100,1,0,0.665024630541872,NA,0.665024630541872
"74","rpart",85,100,1,0,0.665024630541872,NA,0.665024630541872
"75","rpart",90,100,1,0,0.665024630541872,NA,0.665024630541872
"76","rpart",95,100,1,0,0.665024630541872,NA,0.665024630541872
"77","rpart",5,0,0,1,NA,0.334975369458128,0.334975369458128
"78","rpart",10,0,0,1,NA,0.334975369458128,0.334975369458128
"79","rpart",15,0,0,1,NA,0.334975369458128,0.334975369458128
"80","rpart",20,47.0443349753695,0.559259259259259,0.705882352941177,0.790575916230366,0.446511627906977,0.608374384236453
"81","rpart",25,47.0443349753695,0.559259259259259,0.705882352941177,0.790575916230366,0.446511627906977,0.608374384236453
"82","rpart",30,64.0394088669951,0.748148148148148,0.573529411764706,0.776923076923077,0.534246575342466,0.689655172413793
"83","rpart",35,64.0394088669951,0.748148148148148,0.573529411764706,0.776923076923077,0.534246575342466,0.689655172413793
"84","rpart",40,64.0394088669951,0.748148148148148,0.573529411764706,0.776923076923077,0.534246575342466,0.689655172413793
"85","rpart",45,77.3399014778325,0.888888888888889,0.455882352941176,0.764331210191083,0.673913043478261,0.74384236453202
"86","rpart",50,77.3399014778325,0.888888888888889,0.455882352941176,0.764331210191083,0.673913043478261,0.74384236453202
"87","rpart",55,77.3399014778325,0.888888888888889,0.455882352941176,0.764331210191083,0.673913043478261,0.74384236453202
"88","rpart",60,77.3399014778325,0.888888888888889,0.455882352941176,0.764331210191083,0.673913043478261,0.74384236453202
"89","rpart",65,84.4827586206897,0.933333333333333,0.330882352941176,0.73469387755102,0.714285714285714,0.731527093596059
"90","rpart",70,84.4827586206897,0.933333333333333,0.330882352941176,0.73469387755102,0.714285714285714,0.731527093596059
"91","rpart",75,96.3054187192118,0.97037037037037,0.0514705882352941,0.670076726342711,0.466666666666666,0.66256157635468
