"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"112","rpart",0.85,0,NA,NA,NA,NA,NA
"113","rpart",0.9,0,NA,NA,NA,NA,NA
"114","rpart",0.95,0,NA,NA,NA,NA,NA
"115","rpart",0.05,0,NA,NA,NA,NA,NA
"116","rpart",0.1,0,NA,NA,NA,NA,NA
"117","rpart",0.15,0,NA,NA,NA,NA,NA
"118","rpart",0.2,0,NA,NA,NA,NA,NA
"119","rpart",0.25,0,NA,NA,NA,NA,NA
"120","rpart",0.3,0,NA,NA,NA,NA,NA
"121","rpart",0.35,0,NA,NA,NA,NA,NA
"122","rpart",0.4,0,NA,NA,NA,NA,NA
"123","rpart",0.45,0,NA,NA,NA,NA,NA
"124","rpart",0.5,0,NA,NA,NA,NA,NA
"125","rpart",0.55,0,NA,NA,NA,NA,NA
"126","rpart",0.6,0,NA,NA,NA,NA,NA
"127","rpart",0.65,0,NA,NA,NA,NA,NA
"128","rpart",0.7,0,NA,NA,NA,NA,NA
"129","rpart",0.75,0,NA,NA,NA,NA,NA
"130","rpart",0.8,0,NA,NA,NA,NA,NA
"131","rpart",0.85,0,NA,NA,NA,NA,NA
"132","rpart",0.9,0,NA,NA,NA,NA,NA
"133","rpart",0.95,0,NA,NA,NA,NA,NA
"134","rpart",0.05,0,NA,NA,NA,NA,NA
"135","rpart",0.1,0,NA,NA,NA,NA,NA
"136","rpart",0.15,0,NA,NA,NA,NA,NA
"137","rpart",0.2,0,NA,NA,NA,NA,NA
"138","rpart",0.25,0,NA,NA,NA,NA,NA
"139","rpart",0.3,0,NA,NA,NA,NA,NA
"140","rpart",0.35,0,NA,NA,NA,NA,NA
"141","rpart",0.4,0,NA,NA,NA,NA,NA
"142","rpart",0.45,0,NA,NA,NA,NA,NA
"143","rpart",0.5,0,NA,NA,NA,NA,NA
"144","rpart",0.55,0,NA,NA,NA,NA,NA
"145","rpart",0.6,0,NA,NA,NA,NA,NA
"146","rpart",0.65,0,NA,NA,NA,NA,NA
"147","rpart",0.7,0,NA,NA,NA,NA,NA
"148","rpart",0.75,0,NA,NA,NA,NA,NA
"149","rpart",0.8,0,NA,NA,NA,NA,NA
"150","rpart",0.85,0,NA,NA,NA,NA,NA
"151","rpart",0.9,0,NA,NA,NA,NA,NA
"152","rpart",0.95,0,NA,NA,NA,NA,NA
"153","rpart",0.05,0,NA,NA,NA,NA,NA
"154","rpart",0.1,0,NA,NA,NA,NA,NA
